curvature [1/m],bending_moment [N.m]
0.0034717963716,5.49543855015
0.0083313678689,13.0516901422
0.013206034133,22.8057397851
0.0166778305046,28.3011783352
0.0491127107371,50.8374765324
0.0608271932224,56.4725416757
0.0711491834675,59.3599818863
0.0849080634358,62.6604526543
0.102788758172,66.0994179081
0.122727058313,69.126862081
0.142665358454,72.154306254
0.168093436607,74.4964480127
0.196952743946,76.4274460598
0.238861477212,78.362029114
0.304803909545,79.6164042379
0.368002868006,81.4194741361
0.428451748634,82.8097021614
0.500581148523,84.8899497156
