nature,material,cable,layer,dwires,nbwires
ALMELEC,AL4,ASTER570,1,0.00345,1
ALMELEC,AL4,ASTER570,2,0.00345,6
ALMELEC,AL4,ASTER570,3,0.00345,12
ALMELEC,AL4,ASTER570,4,0.00345,18
ALMELEC,AL4,ASTER570,5,0.00345,24
ACIER,ST6C,CARDINAL,1,0.00334,1
ACIER,ST6C,CARDINAL,2,0.00334,6
ALU,AL1,CARDINAL,3,0.00332,12
ALU,AL1,CARDINAL,4,0.00332,18
ALU,AL1,CARDINAL,5,0.00332,24
ACIER,ST6C,CROCUS412,1,0.0024,1
ACIER,ST6C,CROCUS412,2,0.0024,6
ACIER,ST6C,CROCUS412,3,0.0024,12
ALU,AL1,CROCUS412,4,0.0036,13
ALU,AL1,CROCUS412,5,0.0036,19
